Date,GCM,Deficit in, AET in, soil_water in, runoff in, rain in, accumswe in, PET in 
1987-06-02,gridmet.historical,0.0,0.20866141732283466,7.716535433070867,0.0,0.5078740157480316,0.0,0.20866141732283466
1987-06-03,gridmet.historical,0.0,0.19291338582677167,8.645669291338583,0.0,1.1259842519685042,0.0,0.19291338582677167
1987-06-04,gridmet.historical,0.0,0.19291338582677167,9.0748031496063,0.0,0.6181102362204725,0.0,0.19291338582677167
1987-06-05,gridmet.historical,0.015748031496062995,0.17322834645669294,8.901574803149607,0.0,0.0,0.0,0.1889763779527559
1987-06-06,gridmet.historical,0.015748031496062995,0.15748031496062992,8.744094488188976,0.0,0.0,0.0,0.17322834645669294
1987-06-07,gridmet.historical,0.01968503937007874,0.15748031496062992,8.586614173228346,0.0,0.0,0.0,0.17716535433070868
1987-06-08,gridmet.historical,0.01968503937007874,0.17322834645669294,8.44488188976378,0.0,0.03149606299212599,0.0,0.19291338582677167
1987-06-09,gridmet.historical,0.01968503937007874,0.17322834645669294,8.322834645669293,0.0,0.05511811023622047,0.0,0.19291338582677167
1987-06-10,gridmet.historical,0.023622047244094488,0.1377952755905512,8.18503937007874,0.0,0.0,0.0,0.16141732283464566
1987-06-11,gridmet.historical,0.027559055118110236,0.1377952755905512,8.047244094488189,0.0,0.0,0.0,0.16535433070866143
1987-06-12,gridmet.historical,0.0,0.1889763779527559,8.263779527559056,0.0,0.4055118110236221,0.0,0.1889763779527559
1987-06-13,gridmet.historical,0.03149606299212599,0.17322834645669294,8.090551181102363,0.0,0.0,0.0,0.20472440944881892
1987-06-14,gridmet.historical,0.03543307086614173,0.16929133858267717,7.921259842519685,0.0,0.0,0.0,0.20472440944881892
1987-06-15,gridmet.historical,0.03937007874015748,0.16929133858267717,7.751968503937008,0.0,0.0,0.0,0.20866141732283466
1987-06-16,gridmet.historical,0.023622047244094488,0.1889763779527559,7.661417322834646,0.0,0.09448818897637795,0.0,0.21259842519685043
1987-06-17,gridmet.historical,0.043307086614173235,0.16535433070866143,7.511811023622048,0.0,0.015748031496062995,0.0,0.20866141732283466
1987-06-18,gridmet.historical,0.047244094488188976,0.14960629921259844,7.362204724409449,0.0,0.0,0.0,0.1968503937007874
1987-06-19,gridmet.historical,0.047244094488188976,0.14173228346456693,7.216535433070867,0.0,0.0,0.0,0.1889763779527559
